module	status	blocker_category	first_error	direct_deps	n_direct_deps	fstar_s	krml_s
SPARQL.Plan.Streamable	BLOCKED_TRANSITIVE	monomorphization stack overflow [failing deps in closure: SPARQL11.Algebra]	Fatal error: exception Stack overflow	RDF.Graph.Executable,SPARQL11.Algebra	2	25.20	1.37
SPARQL.Protocol	PASS			Parser.FastString,RDF.Graph.Executable	2	14.40	0.86
SPARQL.Query.Analysis	BLOCKED_TRANSITIVE	monomorphization stack overflow [failing deps in closure: SPARQL11.Algebra]	Fatal error: exception Stack overflow	SPARQL11.Algebra	1	24.86	0.93
SPARQL.ServiceDescription	PASS			RDF.Graph.Executable	1	11.98	5.04
SPARQL.Update.Analysis	BLOCKED_TRANSITIVE	monomorphization stack overflow [failing deps in closure: SPARQL11.Algebra]	Fatal error: exception Stack overflow	SPARQL11.Algebra	1	22.87	1.30
SPARQL.Update.Sandbox	BLOCKED_TRANSITIVE	monomorphization stack overflow [failing deps in closure: SPARQL11.Algebra]	Fatal error: exception Stack overflow	RDF.Graph.Executable,SPARQL11.Algebra	2	24.82	1.02
SPARQL11.Algebra	BLOCKED_SELF	monomorphization stack overflow	Fatal error: exception Stack overflow	RDF.Graph.Executable,RDF.List.Helpers,SPARQL11.IRI.Resolve	3	42.46	1.58
SPARQL11.IRI.Resolve	PASS			RDF.Graph.Executable	1	10.48	0.23
SPARQL11.Parser	BLOCKED_TRANSITIVE	monomorphization stack overflow [failing deps in closure: SPARQL11.Algebra]	Fatal error: exception Stack overflow	RDF.Bytes,RDF.Graph.Executable,SPARQL11.Algebra	3	56.54	1.07
SPARQL11.Store	BLOCKED_TRANSITIVE	monomorphization stack overflow [failing deps in closure: RDF.Store.Columnar.DeltaMerge, SPARQL11.Algebra]	Fatal error: exception Stack overflow	Parser.BallyhooCOTTAS,Parser.BallyhooHDT,RDF.CottasStore,RDF.Graph.Executable,RDF.List.Helpers,RDF.Store.Capabilities,RDF.Store.Capabilities.Cottas,RDF.Store.Capabilities.Delta,RDF.Store.Columnar.DeltaLog,RDF.Store.Columnar.DeltaMerge,SPARQL11.Algebra	11	32.89	1.69
ShEx.Schema	BLOCKED_SELF	krml fatal: Failure("nth")	Fatal error: exception Failure("nth")	Parser.IRI,Parser.JSON	2	17.93	0.35
ShEx.Validation	PASS			RDF.Graph.Executable,SPARQL11.Algebra,ShEx.Schema,XSD.Datatypes	4	53.97	0.54
Tableau	BLOCKED_SELF	monomorphization stack overflow	Fatal error: exception Stack overflow	OWL.Vocabulary,RDF.Graph.Executable	2	12.65	0.69
Util.Log	PASS				0	0.39	0.10
VC.Credential	BLOCKED_TRANSITIVE	krml fatal: Failure("nth") [failing deps in closure: SPARQL11.Algebra]	Fatal error: exception Failure("nth")	Parser.JSON,XSD.Datatypes	2	26.16	0.43
XML.Namespaces	PASS			Parser.FastString,Parser.XML	2	1.92	0.26
XML.Wellformedness	PASS				0	0.67	0.16
XPath.Eval	BLOCKED_TRANSITIVE	monomorphization stack overflow [failing deps in closure: Parser.XPath]	Fatal error: exception Stack overflow	Parser.XML,Parser.XPath	2	10.89	0.45
XSD.Datatypes	PASS			RDF.Graph.Executable,SPARQL11.Algebra	2	18.40	0.19
